timestamp,ip_address,attack_type
timestamp,ip_address,attack_type
1728482574.5359244,163.173.228.225,syn_ack
1728482574.6394005,163.173.228.225,syn_ack
1728482574.7429695,163.173.228.225,syn_ack
1728482574.8464243,163.173.228.225,syn_ack
1728482574.9502373,163.173.228.225,syn_ack
1728482575.0552497,163.173.228.225,syn_ack
1728482575.1571023,163.173.228.225,syn_ack
1728482575.2596586,163.173.228.225,syn_ack
1728482575.3620806,163.173.228.225,syn_ack
1728482575.4650285,163.173.228.225,syn_ack
1728482575.5674763,163.173.228.225,syn_ack
1728482575.6690679,163.173.228.225,syn_ack
1728482575.773657,163.173.228.225,syn_ack
1728482575.877059,163.173.228.225,syn_ack
1728482575.980484,163.173.228.225,syn_ack
1728482576.0834153,163.173.228.225,syn_ack
1728482576.1868052,163.173.228.225,syn_ack
1728482576.290613,163.173.228.225,syn_ack
1728482576.3948581,163.173.228.225,syn_ack
1728482576.4978187,163.173.228.225,syn_ack
1728482576.601388,163.173.228.225,syn_ack
1728482576.7150707,163.173.228.225,syn_ack
1728482576.8180442,163.173.228.225,syn_ack
1728482576.921333,163.173.228.225,syn_ack
1728482577.0251274,163.173.228.225,syn_ack
1728482577.1277378,163.173.228.225,syn_ack
1728482577.2310553,163.173.228.225,syn_ack
1728482577.3341281,163.173.228.225,syn_ack
1728482577.437795,163.173.228.225,syn_ack
1728482577.5405447,163.173.228.225,syn_ack
1728482577.6433449,163.173.228.225,syn_ack
1728482577.7452846,163.173.228.225,syn_ack
1728482577.8506186,163.173.228.225,syn_ack
1728482577.953508,163.173.228.225,syn_ack
1728482578.0926082,163.173.228.225,syn_ack
1728482578.1951282,163.173.228.225,syn_ack
1728482578.2991943,163.173.228.225,syn_ack
1728482578.4046686,163.173.228.225,syn_ack
timestamp,ip_address,attack_type
1728482641.2040272,163.173.228.225,syn_ack
1728482641.3081148,163.173.228.225,syn_ack
1728482641.4113686,163.173.228.225,syn_ack
1728482641.5138292,163.173.228.225,syn_ack
1728482641.616272,163.173.228.225,syn_ack
1728482641.7197864,163.173.228.225,syn_ack
1728482641.8213167,163.173.228.225,syn_ack
1728482641.9254098,163.173.228.225,syn_ack
1728482642.0273755,163.173.228.225,syn_ack
1728482642.130293,163.173.228.225,syn_ack
1728482642.2329612,163.173.228.225,syn_ack
1728482642.3364117,163.173.228.225,syn_ack
1728482642.4386482,163.173.228.225,syn_ack
1728482642.5467975,163.173.228.225,syn_ack
1728482642.6490521,163.173.228.225,syn_ack
1728482642.7516167,163.173.228.225,syn_ack
1728482642.8544297,163.173.228.225,syn_ack
1728482642.9578822,163.173.228.225,syn_ack
1728482643.0602055,163.173.228.225,syn_ack
1728482643.1627672,163.173.228.225,syn_ack
1728482643.26521,163.173.228.225,syn_ack
1728482643.3670304,163.173.228.225,syn_ack
1728482643.488705,163.173.228.225,syn_ack
1728482643.5912871,163.173.228.225,syn_ack
1728482643.699462,163.173.228.225,syn_ack
1728482643.809661,163.173.228.225,syn_ack
1728482643.912085,163.173.228.225,syn_ack
1728482644.0153532,163.173.228.225,syn_ack
1728482644.1173472,163.173.228.225,syn_ack
1728482644.2213354,163.173.228.225,syn_ack
1728482644.3241248,163.173.228.225,syn_ack
1728482644.4312954,163.173.228.225,syn_ack
1728482644.5397146,163.173.228.225,syn_ack
1728482644.6429694,163.173.228.225,syn_ack
1728482644.7452464,163.173.228.225,syn_ack
1728482644.851067,163.173.228.225,syn_ack
1728482644.9611154,163.173.228.225,syn_ack
1728482645.0636683,163.173.228.225,syn_ack
1728482645.1664758,163.173.228.225,syn_ack
1728482645.2691953,163.173.228.225,syn_ack
1728482645.371483,163.173.228.225,syn_ack
1728482645.4741025,163.173.228.225,syn_ack
1728482645.576329,163.173.228.225,syn_ack
1728482645.6782262,163.173.228.225,syn_ack
1728482645.7810662,163.173.228.225,syn_ack
1728482645.8838398,163.173.228.225,syn_ack
1728482645.986409,163.173.228.225,syn_ack
1728482646.0889213,163.173.228.225,syn_ack
1728482646.1917598,163.173.228.225,syn_ack
1728482646.2932577,163.173.228.225,syn_ack
1728482646.4139075,163.173.228.225,syn_ack
1728482646.517014,163.173.228.225,syn_ack
1728482646.620086,163.173.228.225,syn_ack
1728482646.7236428,163.173.228.225,syn_ack
1728482646.8263354,163.173.228.225,syn_ack
1728482646.9293258,163.173.228.225,syn_ack
1728482647.0319793,163.173.228.225,syn_ack
1728482647.1353383,163.173.228.225,syn_ack
1728482647.2370415,163.173.228.225,syn_ack
1728482647.3398108,163.173.228.225,syn_ack
1728482647.442646,163.173.228.225,syn_ack
1728482647.5439253,163.173.228.225,syn_ack
1728482647.6475143,163.173.228.225,syn_ack
1728482647.7497716,163.173.228.225,syn_ack
1728482647.8531182,163.173.228.225,syn_ack
1728482647.955745,163.173.228.225,syn_ack
1728482648.0582242,163.173.228.225,syn_ack
1728482648.1603181,163.173.228.225,syn_ack
1728482648.2629302,163.173.228.225,syn_ack
1728482648.3653371,163.173.228.225,syn_ack
1728482648.4678936,163.173.228.225,syn_ack
1728482648.5714583,163.173.228.225,syn_ack
1728482648.675401,163.173.228.225,syn_ack
1728482648.7802765,163.173.228.225,syn_ack
1728482648.8820348,163.173.228.225,syn_ack
1728482648.9857304,163.173.228.225,syn_ack
1728482649.090036,163.173.228.225,syn_ack
1728482649.1930463,163.173.228.225,syn_ack
1728482649.300602,163.173.228.225,syn_ack
1728482649.4023728,163.173.228.225,syn_ack
1728482649.5074956,163.173.228.225,syn_ack
1728482649.6117144,163.173.228.225,syn_ack
1728482649.7155058,163.173.228.225,syn_ack
1728482649.8181138,163.173.228.225,syn_ack
1728482649.9205244,163.173.228.225,syn_ack
1728482650.0248525,163.173.228.225,syn_ack
1728482650.1277018,163.173.228.225,syn_ack
1728482650.2314873,163.173.228.225,syn_ack
1728482650.3399928,163.173.228.225,syn_ack
1728482650.442796,163.173.228.225,syn_ack
1728482650.5454233,163.173.228.225,syn_ack
1728482650.6491454,163.173.228.225,syn_ack
1728482650.7516892,163.173.228.225,syn_ack
1728482650.854063,163.173.228.225,syn_ack
1728482650.9567916,163.173.228.225,syn_ack
1728482651.0582554,163.173.228.225,syn_ack
1728482651.161864,163.173.228.225,syn_ack
1728482651.2644632,163.173.228.225,syn_ack
1728482651.3683584,163.173.228.225,syn_ack
1728482651.4712956,163.173.228.225,syn_ack
1728482651.5738828,163.173.228.225,syn_ack
1728482651.675812,163.173.228.225,syn_ack
1728482651.7810757,163.173.228.225,syn_ack
1728482651.8856006,163.173.228.225,syn_ack
1728482651.9895716,163.173.228.225,syn_ack
1728482652.0940003,163.173.228.225,syn_ack
1728482652.1985285,163.173.228.225,syn_ack
